[LOG] System::create                           : Header version = 1.07.07. Current version = 1.07.07.
[LOG] SystemI::init                            : FMOD Studio Version: 00010707 (72710)
[LOG] SystemI::init                            : maxchannels = 256, flags = 00020000, extradriverdata = 0x0
[LOG] SystemI::close                           : 
[LOG] SystemI::close                           : Stop all sounds
[LOG] SystemI::close                           : Remove miscllaneous DSP stuff.
[LOG] SystemI::close                           : done.

[LOG] OutputCoreAudio::enumerate               : Enumerating...
[LOG] OutputCoreAudio::enumerate               : Found output driver: "ATR USB microphone ".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Digital-out (HDMI)".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Digital-out (HDMI)".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Digital-out (HDMI)".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Line-out (Green Rear)".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Headphones (Green Front)".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "SPDIF-out (Digital)".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "SPDIF-out (Grey Rear)".
[LOG] OutputCoreAudio::enumerate               : Done.
[LOG] OutputCoreAudio::init                    : Output running 2 channels at 48000Hz sample rate.
[LOG] OutputCoreAudio::init                    : Maximum hardware read size: 1024 samples, Software buffer size: 512 samples, Number of software buffers: 4.
[LOG] Thread::initThread                       : Initializing FMOD mixer thread.  priority 3
[LOG] Thread::initThread                       : - Stacksize 49152.  Stack pointer 0x0 : usesemaphore = 1 : sleeptime = 0
[LOG] Thread::callback                         : * FMOD mixer thread started
[LOG] SystemI::init                            : Set up emulated output
[LOG] SystemI::init                            : create the channel pool
[LOG] SystemI::init                            : Set up streamer
[LOG] Thread::initThread                       : Initializing FMOD stream thread.  priority 2
[LOG] Thread::initThread                       : - Stacksize 65536.  Stack pointer 0x0 : usesemaphore = 0 : sleeptime = 10
[LOG] Thread::callback                         : * FMOD stream thread started
[LOG] Thread::initThread                       : Initializing FMOD Studio load thread.  priority 0
[LOG] Thread::initThread                       : - Stacksize 65536.  Stack pointer 0x0 : usesemaphore = 0 : sleeptime = 1
[LOG] Thread::callback                         : * FMOD Studio load thread started
[LOG] SoundI::release                          : (null) (0x137956ad8)
[LOG] SoundI::release                          : release subsounds. (0x137956ad8)
[LOG] SoundI::release                          :     (null) (0x11e829388)
[LOG] SoundI::release                          : release codec. (0x137956ad8)
[LOG] Thread::callback                         : * FMOD Studio update thread finished
[LOG] Thread::close                            : FMOD Studio update thread thread destroyed
[LOG] Thread::callback                         : * FMOD Studio load thread finished
[LOG] Thread::close                            : FMOD Studio load thread thread destroyed
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] LiveUpdate::release                      : 
[LOG] SystemI::close                           : 
[LOG] SystemI::close                           : Stop all sounds
[LOG] Thread::callback                         : * FMOD stream thread finished
[LOG] Thread::close                            : FMOD stream thread thread destroyed
[LOG] SystemI::close                           : Stream thread destroyed
[LOG] SystemI::close                           : Shut down output.
[LOG] Thread::callback                         : * FMOD mixer thread finished
[LOG] Thread::close                            : FMOD mixer thread thread destroyed
[LOG] SystemI::close                           : Free master channel group.
[LOG] SystemI::close                           : Remove 'master' sound group.
[LOG] SystemI::close                           : Free software output.
[LOG] SystemI::close                           : Free emulated output.
[LOG] SystemI::close                           : Free channel pool.
[LOG] SystemI::close                           : Remove miscllaneous DSP stuff.
[LOG] SystemI::close                           : done.

[LOG] Thread::callback                         : * FMOD Studio load thread finished
[LOG] Thread::close                            : FMOD Studio load thread thread destroyed
[LOG] LiveUpdate::release                      : 
[LOG] SystemI::close                           : 
[LOG] SystemI::close                           : Stop all sounds
[LOG] Thread::callback                         : * FMOD stream thread finished
[LOG] Thread::close                            : FMOD stream thread thread destroyed
[LOG] SystemI::close                           : Stream thread destroyed
[LOG] SystemI::close                           : Shut down output.
[LOG] Thread::callback                         : * FMOD mixer thread finished
[LOG] Thread::close                            : FMOD mixer thread thread destroyed
[LOG] SystemI::close                           : Free master channel group.
[LOG] SystemI::close                           : Remove 'master' sound group.
[LOG] SystemI::close                           : Free software output.
[LOG] SystemI::close                           : Free emulated output.
[LOG] SystemI::close                           : Free channel pool.
[LOG] SystemI::close                           : Remove miscllaneous DSP stuff.
[LOG] Global::decRef                           : Shut down streamer and FMOD_NONBLOCKING and FileSystem thread.
[LOG] Thread::callback                         : * FMOD nonblocking thread (0) finished
[LOG] Thread::close                            : FMOD nonblocking thread (0) thread destroyed
[LOG] Global::decRef                           : Shut down file system.
[LOG] SystemI::close                           : done.

